"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,4.4723440039986,0.783,0.066,0,"0","CD3D"
"2",0,4.58848665056392,0.709,0.06,0,"0","CD2"
"3",0,4.52237395281671,0.649,0.113,0,"0","CCL5"
"4",0,4.84694456802561,0.423,0.039,0,"0","GZMM"
"5",0,4.66053274296586,0.42,0.037,0,"0","GZMH"
"6",0,4.46166776511215,0.375,0.035,0,"0","CD96"
"7",0,4.5840352703196,0.365,0.031,0,"0","TRBC1"
"8",0,4.53793169139793,0.362,0.036,0,"0","PRF1"
"9",0,4.64610130015752,0.279,0.024,0,"0","CXCR6"
"10",0,5.38304498429862,0.267,0.018,0,"0","GZMK"
"11",0,4.50837627190925,0.258,0.024,0,"0","SH2D1A"
"12",8.05941343380485e-272,4.51185423509965,0.189,0.018,2.25534625531595e-267,"0","CD5"
"13",1.80053708777646e-235,4.74272553848716,0.164,0.015,5.03862298643365e-231,"0","KLRB1"
"14",4.6400388987574e-234,4.5966765480794,0.166,0.016,1.29846848542827e-229,"0","TRAT1"
"15",1.09135689954678e-233,4.47687966791869,0.163,0.015,3.0540531476917e-229,"0","RGL4"
"16",3.82619478621335e-203,4.69714812747367,0.142,0.013,1.07072234897394e-198,"0","ZNF683"
"17",6.22714645830562e-178,4.71539097272387,0.131,0.013,1.74260466489225e-173,"0","GPR171"
"18",2.97924743829268e-166,5.01092347460396,0.11,0.007,8.33712603131823e-162,"0","LINC00861"
"19",1.84753058650733e-140,4.60741884685669,0.105,0.011,5.1701295932821e-136,"0","PRKCQ"
"20",2.63412577202542e-121,4.73505066173344,0.106,0.016,7.37133756043594e-117,"0","CRTAM"
"21",0,8.87201102283141,0.809,0.01,0,"1","SFRP2"
"22",0,7.62211486266901,0.636,0.006,0,"1","DPT"
"23",0,7.6038205589337,0.601,0.029,0,"1","APOD"
"24",0,8.53761476617328,0.445,0.003,0,"1","CCL11"
"25",0,7.57712072882321,0.39,0.005,0,"1","ADH1B"
"26",0,7.66757734408293,0.348,0.006,0,"1","MFAP5"
"27",0,8.46883193805862,0.282,0.001,0,"1","CILP"
"28",0,8.78207267812823,0.248,0.001,0,"1","FNDC1"
"29",0,8.38733774084358,0.227,0.003,0,"1","SFRP4"
"30",0,7.57469163849402,0.186,0.002,0,"1","SCARA5"
"31",0,8.44467547988031,0.177,0.001,0,"1","LINC01082"
"32",0,7.68512603797556,0.163,0.004,0,"1","PI16"
"33",0,8.7490553077278,0.15,0.001,0,"1","COL11A1"
"34",0,7.74147869304876,0.134,0.001,0,"1","IGDCC4"
"35",0,8.69648448667461,0.131,0.001,0,"1","WNT2"
"36",6.70128570584369e-298,7.99672441784088,0.124,0.001,1.8752877919233e-293,"1","C16orf89"
"37",2.76903341398229e-277,7.59109798434913,0.116,0.001,7.74886310568804e-273,"1","ABCA9"
"38",7.46455205933889e-252,7.86167030588051,0.102,0.001,2.0888802482854e-247,"1","NRK"
"39",3.34241862769598e-244,8.60255338968061,0.107,0.002,9.35342428774444e-240,"1","PLA2G2A"
"40",1.20529220403819e-222,9.00110365310037,0.101,0.002,3.37288970378047e-218,"1","CST1"
"41",0,6.24887681699471,0.949,0.042,0,"2","LYZ"
"42",0,6.20079627746603,0.765,0.033,0,"2","C1QA"
"43",0,6.14037510065121,0.76,0.036,0,"2","C1QB"
"44",0,6.11397208797581,0.707,0.011,0,"2","CSF1R"
"45",0,6.10337092449994,0.616,0.009,0,"2","LILRB2"
"46",0,6.07495831083829,0.607,0.01,0,"2","PILRA"
"47",0,6.37679942579531,0.544,0.008,0,"2","FPR3"
"48",0,6.54741789321852,0.542,0.009,0,"2","PLA2G7"
"49",0,6.28074824563266,0.514,0.007,0,"2","CD163"
"50",0,6.85348200921645,0.469,0.006,0,"2","OLR1"
"51",0,6.19382436761808,0.458,0.01,0,"2","TREM2"
"52",0,6.4208628007005,0.302,0.005,0,"2","RETN"
"53",0,6.1878950787912,0.251,0.005,0,"2","CLEC10A"
"54",0,6.52114832666605,0.223,0.002,0,"2","LILRB5"
"55",0,6.79592117113371,0.215,0.003,0,"2","CLEC4E"
"56",0,6.14646192493018,0.187,0.001,0,"2","CD300E"
"57",0,6.32968931680959,0.172,0.006,0,"2","MMP12"
"58",0,6.21184048847418,0.157,0.002,0,"2","CD209"
"59",0,8.87601169383819,0.135,0.001,0,"2","CCL24"
"60",4.19918493815579e-255,6.24602491040963,0.121,0.003,1.17509991309352e-250,"2","RTN1"
"61",0,7.6704663079753,0.642,0.004,0,"3","CDH5"
"62",0,7.62586497729289,0.631,0.003,0,"3","CXorf36"
"63",0,8.01894085686626,0.556,0.005,0,"3","SOX18"
"64",0,8.43627290310238,0.549,0.008,0,"3","ACKR1"
"65",0,8.29096921031746,0.533,0.001,0,"3","ECSCR"
"66",0,8.04656594275501,0.474,0.002,0,"3","MYCT1"
"67",0,7.87228730473761,0.473,0.002,0,"3","ROBO4"
"68",0,7.86901976042966,0.44,0.007,0,"3","C2CD4B"
"69",0,8.43877000810463,0.423,0.002,0,"3","CCL14"
"70",0,8.07161925166754,0.398,0.004,0,"3","SELE"
"71",0,8.0389406086236,0.376,0.002,0,"3","SOX17"
"72",0,8.85108290974726,0.336,0.001,0,"3","ARHGEF15"
"73",0,8.14311734125405,0.316,0.001,0,"3","TEK"
"74",0,7.49399731545506,0.316,0.002,0,"3","THSD7A"
"75",0,8.30989192644693,0.233,0.001,0,"3","PCAT19"
"76",0,8.03752499424428,0.216,0.002,0,"3","FAM110D"
"77",0,9.08004233591347,0.192,0.001,0,"3","LINC01235"
"78",0,8.15784540768961,0.15,0.001,0,"3","LCN6"
"79",0,8.60710093556081,0.149,0.001,0,"3","PCDH12"
"80",7.53470051781939e-267,9.12232581439913,0.105,0,2.10851059290658e-262,"3","TPO"
"81",0,6.33986746213334,0.694,0.041,0,"4","ALDH3A1"
"82",0,7.71837445262565,0.635,0.011,0,"4","LGALS7"
"83",0,6.59407227071832,0.557,0.014,0,"4","AKR1B10"
"84",0,6.07159174220025,0.377,0.025,0,"4","AGR2"
"85",0,6.66784676287722,0.315,0.003,0,"4","MAGEA4"
"86",0,8.16193566134669,0.274,0.001,0,"4","MAGEA3"
"87",0,6.22024030873034,0.257,0.002,0,"4","MAGEA1"
"88",0,6.06989330402848,0.216,0.004,0,"4","SYT8"
"89",0,7.74183513964646,0.169,0.001,0,"4","AL033397.1"
"90",0,7.6539022548705,0.158,0.001,0,"4","AL589182.1"
"91",0,6.80762847522524,0.154,0.003,0,"4","CEL"
"92",0,6.81014201865739,0.138,0.001,0,"4","EN1"
"93",0,7.13653670697632,0.13,0,0,"4","PIK3C2G"
"94",0,6.27236192311622,0.118,0,0,"4","UGT1A10"
"95",1.55596314126621e-305,7.18185865557672,0.12,0.001,4.35420725451937e-301,"4","PLAC1"
"96",7.99298225385513e-298,6.23982019144691,0.132,0.002,2.23675615391882e-293,"4","NKX2-8"
"97",6.91584651723069e-283,8.06701171916014,0.106,0,1.93533048938184e-278,"4","BRDT"
"98",7.22637040134359e-268,6.25014140445724,0.117,0.002,2.02222749311199e-263,"4","LINC01285"
"99",2.49614265449488e-242,6.24613179371122,0.109,0.002,6.98520560433847e-238,"4","CYP4B1"
"100",8.06634122249633e-235,6.45612578747837,0.106,0.002,2.25728492770337e-230,"4","PAGE2"
"101",0,7.39659128015686,0.493,0.002,0,"5","ACTL8"
"102",0,7.348654980133,0.391,0.003,0,"5","KRT20"
"103",0,7.62410669803758,0.389,0.002,0,"5","ATP13A5"
"104",0,7.57029247163089,0.381,0.017,0,"5","SPRR2D"
"105",0,7.57509877252396,0.341,0.003,0,"5","KRTAP3-1"
"106",0,7.60056957346199,0.339,0.033,0,"5","SPRR3"
"107",0,7.50193563441828,0.238,0.004,0,"5","TMPRSS2"
"108",0,7.50583773483596,0.219,0.001,0,"5","SHH"
"109",0,7.86692508468564,0.214,0.006,0,"5","PRSS27"
"110",0,7.62142963486407,0.187,0.003,0,"5","AL121761.2"
"111",0,9.85071483097921,0.172,0,0,"5","REG1A"
"112",0,7.57827764987772,0.17,0.004,0,"5","SLURP2"
"113",0,8.71355398271692,0.13,0,0,"5","LINC01249"
"114",0,7.74552649641232,0.124,0.001,0,"5","CEACAM7"
"115",4.18300540008562e-301,8.32360098446904,0.152,0.004,1.17057223115996e-296,"5","LYPD2"
"116",1.29004146351916e-283,7.55365799748924,0.152,0.005,3.61005203151202e-279,"5","CRNN"
"117",3.10502528616137e-283,7.34220200447902,0.166,0.006,8.68910276079396e-279,"5","PSCA"
"118",6.46871543999283e-233,7.74784032987803,0.13,0.004,1.81020532872759e-228,"5","FAM25A"
"119",4.57869679892714e-221,7.41840847247108,0.106,0.002,1.28130251221177e-216,"5","MUC21"
"120",5.22579577662563e-189,7.62863857630074,0.129,0.007,1.46238669013092e-184,"5","CRCT1"
"121",0,7.31248756867971,0.335,0.007,0,"6","TPSB2"
"122",0,7.24585594228266,0.334,0.008,0,"6","TPSAB1"
"123",0,7.34995928319543,0.322,0.004,0,"6","TPSD1"
"124",0,7.34500955067015,0.322,0.007,0,"6","CPA3"
"125",0,6.82120602431342,0.286,0.006,0,"6","HPGDS"
"126",0,5.22385569473355,0.287,0.013,0,"6","MS4A1"
"127",0,6.30390735415701,0.289,0.024,0,"6","GATA2"
"128",0,7.76698703563561,0.264,0.002,0,"6","MS4A2"
"129",0,6.55778235697376,0.254,0.007,0,"6","KIT"
"130",0,7.66922536609549,0.249,0.003,0,"6","SLC18A2"
"131",0,8.01118873335229,0.213,0.002,0,"6","HDC"
"132",0,6.14200632606962,0.195,0.006,0,"6","IL1RL1"
"133",1.85865286793688e-261,5.39094436346365,0.21,0.014,5.20125418563457e-257,"6","C1orf186"
"134",5.17032304126592e-202,4.96287655027167,0.149,0.008,1.44686319986786e-197,"6","SPIB"
"135",6.07580167949856e-186,5.43434333465055,0.131,0.007,1.70025234199088e-181,"6","FCRLA"
"136",4.00845250760182e-173,5.13051024947761,0.142,0.01,1.12172534972729e-168,"6","VPREB3"
"137",1.12901132620535e-170,5.06295138691456,0.131,0.008,3.15942529525306e-166,"6","TNFRSF13B"
"138",2.39119526056147e-169,5.04537579093038,0.158,0.013,6.69152081715521e-165,"6","CD19"
"139",1.84566973203449e-158,5.08205527911731,0.264,0.046,5.16492217812532e-154,"6","VWA5A"
"140",8.95802045461363e-118,4.96305796729365,0.123,0.012,2.50681244401908e-113,"6","P2RX1"
"141",0,6.90932910620364,0.713,0.042,0,"7","RGS5"
"142",0,7.00015932101275,0.507,0.011,0,"7","COX4I2"
"143",0,7.87141721266149,0.466,0.006,0,"7","HIGD1B"
"144",0,6.94747940712092,0.364,0.008,0,"7","ITGA7"
"145",0,6.94695851531676,0.357,0.013,0,"7","MYH11"
"146",0,7.99148663339934,0.292,0.004,0,"7","LGI4"
"147",0,6.7057774882922,0.278,0.007,0,"7","CDH6"
"148",0,6.77307830982801,0.235,0.007,0,"7","ATP1B2"
"149",0,7.14633268262356,0.22,0.008,0,"7","C2orf40"
"150",0,7.89958178758302,0.149,0.002,0,"7","AVPR1A"
"151",0,6.80537234983335,0.142,0.002,0,"7","PLN"
"152",0,6.8380608351891,0.138,0.002,0,"7","SLC38A11"
"153",3.5325501331514e-286,7.46743666613401,0.137,0.002,9.88548829261086e-282,"7","HRC"
"154",1.31262571165007e-278,8.300379107403,0.114,0.001,3.67325179148155e-274,"7","FHL5"
"155",1.87435378232816e-278,6.93876848075784,0.126,0.002,5.24519162446713e-274,"7","GPR20"
"156",1.266820512296e-263,6.63451864812225,0.112,0.001,3.54507052160913e-259,"7","NRIP2"
"157",6.19874470260096e-261,7.84316262400473,0.112,0.001,1.73465671757585e-256,"7","AC007406.3"
"158",1.27086162817923e-253,6.43876817516282,0.114,0.002,3.55637918029675e-249,"7","OR51E1"
"159",1.75160797545405e-250,8.23262162305096,0.112,0.002,4.90169975851061e-246,"7","ATP1A2"
"160",5.89081615312021e-202,6.81003347253892,0.103,0.002,1.64848599228916e-197,"7","LINGO1"
"161",0,7.44913951696946,0.79,0.024,0,"8","JCHAIN"
"162",0,7.2427110806888,0.541,0.026,0,"8","IGHG3"
"163",0,7.56367769415388,0.435,0.031,0,"8","IGHA1"
"164",0,9.797585367421,0.225,0.006,0,"8","IGKV1-17"
"165",1.58141398907048e-303,8.04625517343767,0.302,0.02,4.42542890701483e-299,"8","IGKV1-5"
"166",3.82668865501951e-280,7.24408365447889,0.257,0.015,1.07086055322066e-275,"8","IGKV3-11"
"167",7.39319322664613e-241,8.31090730071344,0.183,0.008,2.06891119254465e-236,"8","IGKV1-39"
"168",3.01571583616091e-214,7.82841131940235,0.187,0.01,8.43917919591269e-210,"8","IGKV1D-16"
"169",4.13353671908878e-211,9.48765068280524,0.11,0.002,1.1567289154698e-206,"8","IGHV6-1"
"170",5.2919016964548e-196,8.15989818453128,0.394,0.06,1.48088577073591e-191,"8","IGKV3-20"
"171",1.70561455194956e-190,10.758663946933,0.129,0.004,4.77299176217566e-186,"8","IGKV1-6"
"172",6.13525324270962e-181,8.57223268075066,0.115,0.003,1.71688926743986e-176,"8","IGKV1-16"
"173",1.31512902157392e-171,9.29076661106819,0.128,0.005,3.68025705397246e-167,"8","IGHV4-59"
"174",2.72675320164703e-169,8.50101873192263,0.138,0.007,7.63054615948905e-165,"8","IGHV3-21"
"175",1.90504609369848e-157,9.27917401245475,0.158,0.01,5.33108098860582e-153,"8","IGHV3-23"
"176",6.82157112006946e-149,7.20728556686854,0.25,0.03,1.90894846224024e-144,"8","IGKV3-15"
"177",9.64873392950191e-133,7.83151733091729,0.117,0.006,2.70010170283182e-128,"8","IGHV4-34"
"178",1.83752636207721e-132,8.40364954158245,0.124,0.007,5.14213377163686e-128,"8","IGHV3-7"
"179",3.23310392624193e-119,7.42497346643867,0.103,0.005,9.04751802719542e-115,"8","IGKV1-12"
"180",2.74262121242995e-27,10.0087685764264,0.131,0.038,7.67495120086398e-23,"8","IGLV2-11"
"181",0,5.04544516529494,0.815,0.059,0,"9","MKI67"
"182",0,5.14526035166172,0.787,0.072,0,"9","TYMS"
"183",0,4.87564923576572,0.571,0.035,0,"9","ASF1B"
"184",0,5.06160997791363,0.555,0.032,0,"9","GTSE1"
"185",0,5.1714417145458,0.533,0.035,0,"9","CDCA8"
"186",0,5.22493287578951,0.508,0.028,0,"9","KIFC1"
"187",0,5.50490482634564,0.451,0.03,0,"9","HIST1H1B"
"188",0,5.28359954929269,0.442,0.028,0,"9","RRM2"
"189",6.1816360893832e-297,5.02272169939943,0.404,0.026,1.729869043253e-292,"9","SPC25"
"190",1.99402733623237e-261,5.73226693981687,0.298,0.015,5.58008609771267e-257,"9","HIST1H3B"
"191",1.63583216532949e-235,5.42186715189725,0.276,0.014,4.57771273145806e-231,"9","SKA1"
"192",5.10196987815055e-232,4.83106689509025,0.332,0.023,1.42773525070165e-227,"9","ESCO2"
"193",4.02734089911102e-227,5.21578520830684,0.301,0.018,1.12701107720723e-222,"9","HJURP"
"194",1.77902522320807e-205,5.11792759589142,0.292,0.02,4.97842418462546e-201,"9","KIF15"
"195",1.67720106303463e-165,5.68881037613725,0.21,0.012,4.69347945479612e-161,"9","HIST1H3C"
"196",1.22850739920037e-148,4.89693817816944,0.229,0.017,3.4378551059223e-144,"9","MCM10"
"197",1.02017074795248e-114,5.12164677462271,0.157,0.01,2.85484582107022e-110,"9","E2F8"
"198",4.55209373970706e-110,5.24459692318119,0.15,0.009,1.27385791211962e-105,"9","KIF18B"
"199",2.6327382185927e-80,4.92826886659406,0.107,0.006,7.36745463090982e-76,"9","HIST1H2AJ"
"200",9.75825392524098e-59,5.06301205103513,0.116,0.011,2.73074977843944e-54,"9","CDC25C"
